Dumb & Dumber (1994),1.3213331436461841
"Blair Witch Project, The (1999)",1.3163677138860737
Natural Born Killers (1994),1.307197606900584
Tank Girl (1995),1.2776953925615253
"Rocky Horror Picture Show, The (1975)",1.2601772839374212
Eyes Wide Shut (1999),1.259623523675699
Evita (1996),1.253631055394044
Billy Madison (1995),1.2499701595865267
Fear and Loathing in Las Vegas (1998),1.246408076755582
Bicentennial Man (1999),1.2455325276601854
Hellraiser (1987),1.2430462054585405
Babe: Pig in the City (1998),1.2393794731648196
Wes Craven's New Nightmare (1994),1.23763043097095
"South Park: Bigger, Longer and Uncut (1999)",1.2353795291863594
Deuce Bigalow: Male Gigolo (1999),1.2263370048001445
Scary Movie (2000),1.2240242647676391
Serial Mom (1994),1.2227145516558837
"Waterboy, The (1998)",1.2190922566480942
Toys (1992),1.2188890922376052
"Thin Red Line, The (1998)",1.215280006693644
"Last Temptation of Christ, The (1988)",1.2146146146164114
Patch Adams (1998),1.213112379208276
For Love of the Game (1999),1.2110945016666363
Armageddon (1998),1.203439250556881
Starship Troopers (1997),1.2032451167638634
Godzilla (Gojira) (1954),1.2019179947077148
Breaking the Waves (1996),1.1963707521259792
Bringing Out the Dead (1999),1.1958617709195822
Beavis and Butt-head Do America (1996),1.190893718222272
American Psycho (2000),1.1906975341204906
"Nightmare on Elm Street, A (1984)",1.1894502178088322
Pee-wee's Big Adventure (1985),1.1859327718924257
"English Patient, The (1996)",1.1858420943094599
Mars Attacks! (1996),1.1856315343131256
Dune (1984),1.1830672338798327
Psycho (1998),1.1827971518528255
"Me, Myself and Irene (2000)",1.1797334528095724
From Dusk Till Dawn (1996),1.1787767782524565
Ace Ventura: When Nature Calls (1995),1.1787480236425403
eXistenZ (1999),1.1785675239677589
"Messenger: The Story of Joan of Arc, The (1999)",1.1756030094137326
Barbarella (1968),1.173192708731838
Spaceballs (1987),1.171615693339392
Return to Oz (1985),1.1707176047813272
"Story of Us, The (1999)",1.1696746388977988
Buffalo 66 (1998),1.1691122761943618
Dirty Dancing (1987),1.168924124554064
Titanic (1997),1.167448492490018
Robin Hood: Men in Tights (1993),1.1672388001342444
William Shakespeare's Romeo and Juliet (1996),1.167050842677782
I Still Know What You Did Last Summer (1998),1.1661271009381817
What Dreams May Come (1998),1.1643630134211391
Drop Dead Gorgeous (1999),1.1616387874029281
"Adventures of Buckaroo Bonzai Across the 8th Dimension, The (1984)",1.1615918814579327
"Skulls, The (2000)",1.1610155643474258
Phantasm (1979),1.160909623568576
Drop Dead Fred (1991),1.1584523036394423
Rocky IV (1985),1.1583564483003808
Jumpin' Jack Flash (1986),1.1580521212930432
Porky's (1981),1.1565432512375113
Night of the Living Dead (1968),1.1557687716184901
Happiness (1998),1.155600883200562
Gremlins 2: The New Batch (1990),1.15501110915058
Topsy-Turvy (1999),1.1537787868434526
Star Trek V: The Final Frontier (1989),1.152796813878227
