"'burbs, The (1989)",2.7934782608695654,2.962085308056872
10 Things I Hate About You (1999),3.646551724137931,3.3119658119658117
101 Dalmatians (1961),3.7914438502673797,3.5
101 Dalmatians (1996),3.24,2.911214953271028
12 Angry Men (1957),4.184397163120567,4.328421052631579
"13th Warrior, The (1999)",3.112,3.168
2 Days in the Valley (1996),3.488888888888889,3.2448132780082988
"20,000 Leagues Under the Sea (1954)",3.670103092783505,3.709205020920502
2001: A Space Odyssey (1968),3.8255813953488373,4.129737609329446
2010 (1984),3.4468085106382977,3.41371158392435
28 Days (2000),3.2094240837696337,2.977707006369427
"39 Steps, The (1935)",3.9655172413793105,4.107692307692307
54 (1998),2.7017543859649122,2.782178217821782
"7th Voyage of Sinbad, The (1958)",3.409090909090909,3.6588785046728973
8MM (1999),2.90625,2.8509615384615383
About Last Night... (1986),3.188679245283019,3.140909090909091
"Absent Minded Professor, The (1961)",3.4693877551020407,3.4468085106382977
Absolute Power (1997),3.4691358024691357,3.3277591973244145
"Abyss, The (1989)",3.659235668789809,3.689507494646681
Ace Ventura: Pet Detective (1994),3.0,3.1979166666666665
Ace Ventura: When Nature Calls (1995),2.269662921348315,2.5433333333333334
Addams Family Values (1993),3.0,2.878531073446328
"Addams Family, The (1991)",3.1861702127659575,3.1634980988593155
Adventures in Babysitting (1987),3.45578231292517,3.2081218274111674
"Adventures of Buckaroo Bonzai Across the 8th Dimension, The (1984)",3.3085106382978724,3.402321083172147
"Adventures of Priscilla, Queen of the Desert, The (1994)",3.989071038251366,3.6888111888111887
"Adventures of Robin Hood, The (1938)",4.166666666666667,3.9183673469387754
"African Queen, The (1951)",4.324232081911263,4.223821989528796
"Age of Innocence, The (1993)",3.827067669172932,3.3395061728395063
Agnes of God (1985),3.5348837209302326,3.2448979591836733
Air America (1990),2.823529411764706,2.7411764705882353
Air Force One (1997),3.6995884773662553,3.5558223289315727
Airplane II: The Sequel (1982),2.90625,2.9956709956709955
Airplane! (1980),3.6565656565656566,4.064419475655431
Akira (1988),3.511111111111111,3.98034398034398
Aladdin (1992),3.857142857142857,3.7564935064935066
Alice in Wonderland (1951),3.7058823529411766,3.6923076923076925
Alien (1979),3.8882521489971347,4.216119402985075
Alien Nation (1988),3.433333333333333,3.195945945945946
Alien: Resurrection (1997),2.70873786407767,2.997041420118343
Aliens (1986),3.8020833333333335,4.18668407310705
Alien� (1992),3.0082644628099175,3.04228855721393
Alive (1993),3.4693877551020407,3.376865671641791
All About Eve (1950),4.3630573248407645,4.186991869918699
All About My Mother (Todo Sobre Mi Madre) (1999),4.333333333333333,3.944
All Quiet on the Western Front (1930),3.9574468085106385,4.244343891402715
All That Jazz (1979),4.061855670103093,3.7181818181818183
Almost Famous (2000),4.2202166064981945,4.228730822873082
Amadeus (1984),4.346733668341709,4.213414634146342
American Beauty (1999),4.238900634249472,4.347300564061241
American Gigolo (1980),3.3375,3.1069767441860465
American Graffiti (1973),3.9404761904761907,4.055555555555555
American History X (1998),4.181818181818182,4.2407407407407405
American Movie (1999),4.028985507246377,4.008849557522124
American Pie (1999),3.5397923875432524,3.7545454545454544
"American President, The (1995)",3.9234828496042216,3.7186544342507646
