0,One Flew Over the Cuckoo's Nest (1975),5
50759,Dumbo (1941),5
41626,Toy Story (1995),5
19503,Awakenings (1990),5
43703,Rain Man (1988),5
25853,Schindler's List (1993),5
37339,Cinderella (1950),5
15859,"Sound of Music, The (1965)",5
28501,Pocahontas (1995),5
49748,Mary Poppins (1964),5
12759,Beauty and the Beast (1991),5
23270,Back to the Future (1985),5
37204,"Last Days of Disco, The (1998)",5
52255,Saving Private Ryan (1998),5
8926,"Christmas Story, A (1983)",5
8222,Ben-Hur (1959),5
4201,"Bug's Life, A (1998)",5
40375,Apollo 13 (1995),5
36814,"Hunchback of Notre Dame, The (1996)",4
36324,Mulan (1998),4
34973,Aladdin (1992),4
45685,Run Lola Run (Lola rennt) (1998),4
37916,"Sixth Sense, The (1999)",4
45033,Driving Miss Daisy (1989),4
34073,"Girl, Interrupted (1999)",4
46757,Star Wars: Episode IV - A New Hope (1977),4
51327,To Kill a Mockingbird (1962),4
54908,"Secret Garden, The (1993)",4
55246,Toy Story 2 (1999),4
56831,Fargo (1996),4
