American Beauty (1999),3428
Star Wars: Episode IV - A New Hope (1977),2991
Star Wars: Episode V - The Empire Strikes Back (1980),2990
Star Wars: Episode VI - Return of the Jedi (1983),2883
Jurassic Park (1993),2672
Saving Private Ryan (1998),2653
Terminator 2: Judgment Day (1991),2649
"Matrix, The (1999)",2590
Back to the Future (1985),2583
"Silence of the Lambs, The (1991)",2578
Men in Black (1997),2538
Raiders of the Lost Ark (1981),2514
Fargo (1996),2513
"Sixth Sense, The (1999)",2459
Braveheart (1995),2443
Shakespeare in Love (1998),2369
"Princess Bride, The (1987)",2318
Schindler's List (1993),2304
L.A. Confidential (1997),2288
Groundhog Day (1993),2278
E.T. the Extra-Terrestrial (1982),2269
Star Wars: Episode I - The Phantom Menace (1999),2250
Being John Malkovich (1999),2241
"Shawshank Redemption, The (1994)",2227
"Godfather, The (1972)",2223
Forrest Gump (1994),2194
Ghostbusters (1984),2181
Pulp Fiction (1994),2171
"Terminator, The (1984)",2098
Toy Story (1995),2077
Alien (1979),2024
Total Recall (1990),1996
"Fugitive, The (1993)",1995
Gladiator (2000),1924
Aliens (1986),1820
Blade Runner (1982),1800
Who Framed Roger Rabbit? (1988),1799
Stand by Me (1986),1785
"Usual Suspects, The (1995)",1783
Babe (1995),1751
Airplane! (1980),1731
Independence Day (ID4) (1996),1730
Galaxy Quest (1999),1728
One Flew Over the Cuckoo's Nest (1975),1725
"Wizard of Oz, The (1939)",1718
2001: A Space Odyssey (1968),1716
"Abyss, The (1989)",1715
"Bug's Life, A (1998)",1703
Jaws (1975),1697
"Godfather: Part II, The (1974)",1692
Casablanca (1942),1669
Die Hard (1988),1666
GoodFellas (1990),1657
"Hunt for Red October, The (1990)",1652
Speed (1994),1650
Indiana Jones and the Last Crusade (1989),1628
Lethal Weapon (1987),1627
Monty Python and the Holy Grail (1974),1599
Toy Story 2 (1999),1585
When Harry Met Sally... (1989),1568
Good Will Hunting (1997),1548
Titanic (1997),1546
"Breakfast Club, The (1985)",1539
Mission: Impossible (1996),1527
Election (1999),1522
Twelve Monkeys (1995),1511
X-Men (2000),1511
Beetlejuice (1988),1495
Big (1988),1491
Edward Scissorhands (1990),1473
Ferris Bueller's Day Off (1986),1473
Dances with Wolves (1990),1451
Close Encounters of the Third Kind (1977),1451
Fight Club (1999),1451
Star Trek: The Wrath of Khan (1982),1448
Raising Arizona (1987),1434
Austin Powers: The Spy Who Shagged Me (1999),1434
Batman (1989),1431
As Good As It Gets (1997),1424
Face/Off (1997),1421
Butch Cassidy and the Sundance Kid (1969),1419
Thelma & Louise (1991),1417
Clerks (1994),1412
True Lies (1994),1400
American Pie (1999),1389
Amadeus (1984),1382
Contact (1997),1382
"Fifth Element, The (1997)",1377
High Fidelity (2000),1373
There's Something About Mary (1998),1371
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),1367
Arachnophobia (1990),1367
Clueless (1995),1362
Get Shorty (1995),1356
Jerry Maguire (1996),1353
"Christmas Story, A (1983)",1352
Aladdin (1992),1351
Romancing the Stone (1984),1345
"Blues Brothers, The (1980)",1341
"Rock, The (1996)",1340
Annie Hall (1977),1334
"Talented Mr. Ripley, The (1999)",1331
Rain Man (1988),1330
Chicken Run (2000),1329
"Fish Called Wanda, A (1988)",1326
Erin Brockovich (2000),1315
North by Northwest (1959),1315
Mission: Impossible 2 (2000),1313
Willy Wonka and the Chocolate Factory (1971),1313
Star Trek: First Contact (1996),1310
Predator (1987),1297
"South Park: Bigger, Longer and Uncut (1999)",1269
Psycho (1960),1263
"Graduate, The (1967)",1261
Reservoir Dogs (1992),1259
"Lost World: Jurassic Park, The (1997)",1255
Full Metal Jacket (1987),1254
Apollo 13 (1995),1251
Taxi Driver (1976),1240
"Patriot, The (2000)",1240
"Blair Witch Project, The (1999)",1237
Four Weddings and a Funeral (1994),1233
"Rocky Horror Picture Show, The (1975)",1233
Robocop (1987),1229
"Crying Game, The (1992)",1229
"Clockwork Orange, A (1971)",1229
"Green Mile, The (1999)",1222
Superman (1978),1222
Rushmore (1998),1220
Animal House (1978),1207
Austin Powers: International Man of Mystery (1997),1205
"Full Monty, The (1997)",1199
Young Frankenstein (1974),1193
Chinatown (1974),1185
"Mask, The (1994)",1179
Sling Blade (1996),1177
Apocalypse Now (1979),1176
Starship Troopers (1997),1163
Splash (1984),1163
Planet of the Apes (1968),1162
Pleasantville (1998),1158
Back to the Future Part II (1989),1158
Gone with the Wind (1939),1156
Life Is Beautiful (La Vita � bella) (1997),1152
Back to the Future Part III (1990),1148
Platoon (1986),1143
Seven (Se7en) (1995),1137
Grosse Pointe Blank (1997),1136
Die Hard 2 (1990),1135
Rocky (1976),1129
Boogie Nights (1997),1128
Indiana Jones and the Temple of Doom (1984),1127
"Untouchables, The (1987)",1127
Star Trek IV: The Voyage Home (1986),1126
Ghost (1990),1124
"Lion King, The (1994)",1121
Wayne's World (1992),1120
Blazing Saddles (1974),1119
This Is Spinal Tap (1984),1118
Citizen Kane (1941),1116
Stargate (1994),1116
Magnolia (1999),1113
Glory (1989),1112
Twister (1996),1110
Armageddon (1998),1110
M*A*S*H (1970),1099
"League of Their Own, A (1992)",1099
"Big Lebowski, The (1998)",1097
Bull Durham (1988),1095
Sneakers (1992),1091
"Thomas Crown Affair, The (1999)",1089
"Shining, The (1980)",1087
My Cousin Vinny (1992),1086
"Good Morning, Vietnam (1987)",1082
Gattaca (1997),1077
Air Force One (1997),1076
Mars Attacks! (1996),1074
Run Lola Run (Lola rennt) (1998),1072
"Fly, The (1986)",1071
Mad Max (1979),1066
Sleepy Hollow (1999),1066
"Few Good Men, A (1992)",1061
Beauty and the Beast (1991),1060
Clear and Present Danger (1994),1059
"African Queen, The (1951)",1057
Patriot Games (1992),1052
Rear Window (1954),1050
"Sting, The (1973)",1049
Witness (1985),1046
Pretty Woman (1990),1046
"Honey, I Shrunk the Kids (1989)",1045
"Maltese Falcon, The (1941)",1043
"Little Mermaid, The (1989)",1035
Mad Max 2 (a.k.a. The Road Warrior) (1981),1034
"American President, The (1995)",1033
Batman Returns (1992),1031
Three Kings (1999),1021
"Perfect Storm, The (2000)",1013
Mary Poppins (1964),1011
Lethal Weapon 2 (1989),1011
Top Gun (1986),1010
Time Bandits (1981),1010
"Mummy, The (1999)",1007
Cocoon (1985),1006
"Truman Show, The (1998)",1005
"Boat, The (Das Boot) (1981)",1001
Star Trek VI: The Undiscovered Country (1991),1001
Unforgiven (1992),997
"Nightmare Before Christmas, The (1993)",996
"X-Files: Fight the Future, The (1998)",996
Almost Famous (2000),994
Star Trek: Generations (1994),990
American Graffiti (1973),990
"English Patient, The (1996)",989
Dogma (1999),989
Enemy of the State (1998),988
Sleepless in Seattle (1993),986
"Mask of Zorro, The (1998)",983
Moonstruck (1987),982
Leaving Las Vegas (1995),980
"Player, The (1992)",978
"Last of the Mohicans, The (1992)",975
In the Line of Fire (1993),972
Tron (1982),970
Caddyshack (1980),967
Chasing Amy (1997),966
Con Air (1997),954
Dave (1993),948
"Nutty Professor, The (1996)",948
Eyes Wide Shut (1999),945
Army of Darkness (1993),945
"Fisher King, The (1991)",945
Fantasia (1940),943
Heat (1995),940
Elizabeth (1998),938
"Bridge on the River Kwai, The (1957)",938
