Sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,Variance
day0_rep1,-1.2419696350543687,-3587.7189995000917,-34.059703622595315,-1.9354417209330872,0.0,-0.5570059667591454,0.0,0.0,0.0,-27.650143398512284,0.0,-396.707652348132,-34.491082199123106,-28.56842930982495,-2.4720042720666378,-218.52108583243518,0.0,-0.27230791446393876,-1.2029865938884452,-703.7200948634706,0.49920195011400414
day0_rep2,0.08936878972965258,-561.3314152123639,3.443601677432393,3.568437123180532,0.0,0.44165354639795146,0.0,0.0,0.0,0.6188496020926053,0.0,100.86768098200531,0.189986085766362,-3.753388142947521,-1.8726361882920104,17.19120924752529,0.0,1.702550655398837,0.6921637998243069,24.365955802084883,0.2944005062609115
day0_rep3,-0.670789166809639,277.80420418645707,-11.000756433095912,1.8589056506523929,0.0,-0.22748122143035213,0.0,0.0,0.0,-5.881442400376588,0.0,29.656250190793084,8.84597090394244,6.519123184394162,-0.66234466097996,41.494735620903306,0.0,-0.6718667394491821,-0.20214278883008002,-45.88135999412012,0.12969434618613057
day1_rep1,-0.4440292066439922,-296.29057722374023,-3.4475333444287406,1.166844894497058,0.0,0.23544940775256343,0.0,0.0,0.0,2.7591516259490687,0.0,7.6991263591994965,-7.210488302651453,-0.4884890302970464,-1.4350796598212234,-66.48560666526255,0.0,-0.6081688354508132,-1.502577031171705,-82.73308167222854,0.029062693442877836
day1_rep2,-0.14554769979397775,331.44387506558644,0.38984783983441806,-2.7242866056562454,0.0,0.2825796549355961,0.0,0.0,0.0,-6.559915970165926,0.0,9.41914585653812,-7.186988064316873,-5.126290080055715,-0.26118033839204996,83.25140736128641,0.0,-2.15969158593727,-0.7344051508079703,0.07495988713142054,0.01933689838289277
day1_rep3,0.2985534256924045,801.8579262284434,8.970925549568697,-1.1245731059725763,0.0,0.20983110493487978,0.0,0.0,0.0,8.418852152532255,0.0,88.55980975165112,10.220030320955427,12.674431555006395,0.18884378240826355,75.20839609492596,0.0,-0.6894025745786003,-0.3433894929731893,132.6132489332027,0.01831811107271606
day2_rep1,0.38699505034675835,-193.04278150673304,-0.47485638138731423,-3.343075823427676,0.0,0.6784881757475887,0.0,0.0,0.0,0.747446261404469,0.0,39.21265152084325,1.5447055689384384,-3.7353959102033345,-0.4780356959211848,-18.838991035355463,0.0,0.3212520905984799,0.4968181730008352,-43.12599005725892,0.004993989469788259
day2_rep2,0.15718059003672052,-70.51080030379646,-7.448294049203872,-0.24009337700184796,0.0,0.36702892380110597,0.0,0.0,0.0,4.437395527615102,0.0,-39.348721075795034,9.652848288507055,-2.128713150959377,-0.848553666309607,-58.10973612314744,0.0,-2.478991257400003,-2.3134321335135217,6.493250685327556,0.0020596230849678435
day2_rep3,-0.03979554409673053,-255.02537059236212,-4.484870780630561,0.7916554051584952,0.0,-0.16840978393115938,0.0,0.0,0.0,-4.252211898894181,0.0,1.6933077623716086,-12.45784658807849,9.762820966970997,-0.7930927699995627,-31.581184683687574,0.0,-1.7620837263299862,2.4628640915452764,-84.00528654682978,0.0008945461616552743
day4_rep1,-0.3623001372423352,-454.8987874125669,-8.84858311444364,-0.06744225324723635,0.0,-0.016644661177509637,0.0,0.0,0.0,0.9535250579291683,0.0,20.792889325341214,-2.1247782758107774,-5.13996219634074,-3.5069879879948678,-55.69578092912072,0.0,-0.8348935489665229,0.1764947217575869,-102.2567083196761,0.0007440109221833152
day4_rep2,1.3914674216246234,248.0988987595212,3.9406326482491227,-1.0226249933828009,0.0,0.03265047253303008,0.0,0.0,0.0,-0.11912261462949214,0.0,32.485062446402125,6.016720905922146,4.534075874831387,-0.0952789215121172,9.081322266189893,0.0,0.7672215128090304,0.3761261260729525,78.76889862569205,0.00037086582821005464
day4_rep3,0.670133917958456,-342.66727268521385,-7.744048236705162,-0.34639145291597456,0.0,-0.08704972400247818,0.0,0.0,0.0,-0.7434826126302396,0.0,-12.166515577364041,-9.263853626902012,2.6845438384074534,0.19073857299202346,-15.617024198799593,0.0,-2.788941570909747,-0.256341549563142,-34.19101714938709,0.0002922771007340612
day5_rep1,1.136440448282099,-1.7440107285697195,12.399865251502263,-1.9368560813300548,0.0,0.15358415013825566,0.0,0.0,0.0,-0.869263124155176,0.0,36.202093547331216,-2.3479604970249257,-3.6899799976485466,1.1555596656972271,10.77950435434619,0.0,-0.8613720846255624,-0.009803244245019771,65.63383634546342,0.0002474577335761021
day5_rep2,-0.15299633818354527,-809.4326818684284,-5.659769835573492,1.601875525261315,0.0,-0.027144427549810408,0.0,0.0,0.0,-4.040488506698309,0.0,-40.454864726201855,-2.9358424869765543,-1.8970772721929996,-2.3347278789627564,-42.375368713739654,0.0,2.0567587288377425,-1.2307087345708816,-159.66153679283215,0.0001526746235459728
day11_rep1,-0.7553163207326735,-55.29984710531038,0.8067960025929428,1.990278174421663,0.0,-0.8756092086690047,0.0,0.0,0.0,1.7818714217734573,0.0,-5.7828432232396,9.604003465805453,4.141640923054874,0.581707102956719,24.731475115336842,0.0,-2.1787000212997376,0.12595651470884445,-8.185910182607481,7.437452974634875e-05
